"k","alpha","delta","burnin","iter","perplexity"
10,0.1,0.01,50,300,772.888095550022
10,0.1,0.01,50,300,810.012455619486
10,0.1,0.01,50,300,818.121907641291
10,0.15,0.01,50,300,743.966649253791
10,0.15,0.01,50,300,777.554921949412
10,0.15,0.01,50,300,772.77345556304
10,0.15,0.01,50,300,808.872677186022
10,0.15,0.01,50,300,812.714229642622
10,0.2,0.01,50,300,736.786497487815
10,0.2,0.01,50,300,778.447854364473
10,0.2,0.01,50,300,776.913543150311
10,0.2,0.01,50,300,805.580452559447
10,0.2,0.01,50,300,817.211907902675
10,0.25,0.01,50,300,736.358030716579
10,0.25,0.01,50,300,772.937792087709
10,0.25,0.01,50,300,776.624978484634
10,0.25,0.01,50,300,793.974208851914
10,0.25,0.01,50,300,817.034135105244
10,0.3,0.01,50,300,746.858889520986
10,0.3,0.01,50,300,778.784290227019
10,0.3,0.01,50,300,773.154542077641
10,0.3,0.01,50,300,811.913477426472
10,0.3,0.01,50,300,818.476208998141
10,0.35,0.01,50,300,749.747460282377
10,0.35,0.01,50,300,777.803436452524
10,0.35,0.01,50,300,775.516116374307
10,0.35,0.01,50,300,806.482100777281
10,0.35,0.01,50,300,824.836560748434
10,0.4,0.01,50,300,754.05088207481
10,0.4,0.01,50,300,782.315627419791
10,0.4,0.01,50,300,780.294897959919
10,0.4,0.01,50,300,807.157632387016
10,0.4,0.01,50,300,830.713547428166
10,0.001,0.05,50,300,750.974008594585
10,0.001,0.05,50,300,783.79994968661
10,0.001,0.05,50,300,780.387579261261
10,0.001,0.05,50,300,810.716482144069
10,0.001,0.05,50,300,821.195751253334
10,0.005,0.05,50,300,745.24338751133
10,0.005,0.05,50,300,770.817033025189
10,0.005,0.05,50,300,771.394692794946
10,0.005,0.05,50,300,805.025033993488
10,0.005,0.05,50,300,813.487280959712
10,0.01,0.05,50,300,740.701892072625
10,0.01,0.05,50,300,766.999546081186
10,0.01,0.05,50,300,773.778891416468
10,0.01,0.05,50,300,795.562455012988
10,0.01,0.05,50,300,819.440453541761
10,0.05,0.05,50,300,732.800200508836
10,0.05,0.05,50,300,766.019962023404
10,0.05,0.05,50,300,756.996139766151
10,0.05,0.05,50,300,784.009041925463
10,0.05,0.05,50,300,804.75330306027
10,0.1,0.05,50,300,729.723755527849
10,0.1,0.05,50,300,760.116223946754
10,0.1,0.05,50,300,756.658845769409
10,0.1,0.05,50,300,789.746368768569
10,0.1,0.05,50,300,812.255438927419
10,0.15,0.05,50,300,733.101146337947
10,0.15,0.05,50,300,764.968809519922
10,0.15,0.05,50,300,759.263385591618
10,0.15,0.05,50,300,790.46367311295
10,0.15,0.05,50,300,806.534440821288
10,0.2,0.05,50,300,735.99897796829
10,0.2,0.05,50,300,766.865539453707
10,0.2,0.05,50,300,766.415123626137
10,0.2,0.05,50,300,791.742136429557
10,0.2,0.05,50,300,808.389815269648
10,0.25,0.05,50,300,731.73313494019
10,0.25,0.05,50,300,762.701311385612
10,0.25,0.05,50,300,765.930563039053
10,0.25,0.05,50,300,798.826527217246
10,0.25,0.05,50,300,806.050046201033
10,0.3,0.05,50,300,734.295160885358
10,0.3,0.05,50,300,768.091729680663
10,0.3,0.05,50,300,757.972868369201
10,0.3,0.05,50,300,797.099788935083
10,0.3,0.05,50,300,806.450034232554
