"k","alpha","delta","burnin","iter","perplexity","perplexityLag","perplexityLead","acceleration"
10,0.1,0.05,50,300,729.723755527849,NA,662.888162740624,NA
15,0.1,0.1,50,300,662.888162740624,729.723755527849,618.304157099448,22.25
20,0.05,0.05,50,300,618.304157099448,662.888162740624,590.555670804142,16.84
25,0.05,0.1,50,300,590.555670804142,618.304157099448,NA,NA
