"jobResultsTitle"	"jobResultsSalary"	"jobResultsLoc"	"jobResultsType"	"jobpositionlink"	"location_salary"	"job_type"	"posted_date"	"last_view"	"skills"	"location"	"industry"	"start_date"	"rate"	"recruiter"	"contact"	"ref"	"posted_date"	"permalink"	"company_summary"	"duration"	"category"
"Data Scientist"	"£60k - £100k per annum"	"London"	"Permanent"	"Data Scientist"	"London - £60k - £100k per annum"	"Permanent"	"Posted: Monday, 3 December 2018"	""	"Senior Data Scientist - Investment BankingA leading Investment Bank who are looking to expand their Digital Global Transaction Banking teamare looking to add a Data Scientist to the team.The Global Transaction Banking organisation is investing in an important step change in managing and leveraging data to accelerate the business into the digital era. Data will play a significant role in building out future digital applications with the aim to utilise the latest analytics, machine learning and AI capabilities.Key Responsibilities:Building data products utilising agile development frameworks, delivering value quickly and continuously, and above all build products that solve customer problemsIdentifying and implementing artificial intelligence/machine learning models to enhance business performanceBuilding key relationships with internal business partners to facilitate agile data application product developmentBuilding and championing analytics, data science and reporting best practice frameworksArchitect and rapidly build cost effective proof of concepts/Minimum Viable Products to test commercial opportunity for new applications of data productsResearching new concepts and applications for data products and technology which will provide commercial value or efficiency benefitsWorking with senior stakeholders to understand and translate technical business requirements and applications that would benefit Deutsche Bank into working prototypesMentoring and training peers on building practical data applications and show their benefits Skills & Qualifications:Have hands on experience working with big data platforms and associated products (not just a theoretical understanding) such as hive, impala, oozie, Spark, neo4j etcHave a strong programming with big data foundation- including Python, Scala, Java or C++, R and SQLHave hands on experience in data analysis and science, with a good understanding of data-mining, machine-learning and other data science techniques and applications, including prediction, optimisation, classification, anomaly detection and text analyticsUnderstand the model build life cycle, including feature selection and optimisation, model selection and validation, and ongoing model maintenanceMust have a firm grasp of statistical techniques for analysis, including, distributions, testing methodologies, probability theory etcHands on experience data mining and querying using SQL and/or Spark using large and complex structured and unstructured data setsAbility to deliver high quality data visualisations that capture the essence of the insight in the simplest way, through Tableau, Qlikview or equivalent data visualisation toolsHave a good understanding of software engineering principles and agile delivery methodologiesDefine data quality process and frameworks to demonstrate and ensure a good quality data pipeline. Familiar with data quality process and vendor tools"	"London, UK"	"IT"	"ASAP"	"£60k - £100k per annum"	"ThomsonKeene"	"Jack Cannell "	"JS-9911"	"03/12/2018 08:19:01"	"http://www.jobserve.com/GcyEg"	NA	NA	"Executive"
"Data Scientist"	"£650 - £800 per Day"	"London"	"Contract"	"Data Scientist"	"London - £650 - £800 per Day"	"Contract"	"Posted: Thursday, 29 November 2018"	""	"Contract RequirementLead Data ScientistCurrently seeking an innovative Data Scientist to work for a globally renowned Asset Management organisation. This opportunity is to help build and be part some of the biggest projects within the Asset and Wealth management industry.This organisation recognises that the in order for them to grow they must use the latest technologies to innovate and build a truly unique data system. You will play an instrumental part in delivering the data science function of the business, working closely with various stakeholders and liaising with the engineering teams closely. You will be leveraging data from various sources and enhancing processes to genuinely help their customers benefit from the organisation.We are seeking candidates who are creative and drive new technical ideas into the industry.Required skills:Strong statistical knowledge is an asset for this positionStrong Python or R programming skills are a must for the roleStake holder managementExperience of working on open sourced Servers including LinuxExperience working on open-source distributed general-purpose cluster-computing frameworks including SparkAbility to build statistical inference models using Bayesian methodologiesLocation: LondonDuration: 6 monthsRate: £650 - £800 per DayHow to Apply: If you want to work with passionate individuals and be part of a business critical team then this is the opportunity for you. Alternatively if you have a friend or colleague that may be suitable please pass on my details. Successful referrals will be rewarded. To discuss this in more detail please send your CV to: Ryan Baker | (see below) Empiric is a global provider of niche and specialist recruitment services operating across Investment Banking, Oil & Gas, Engineering, IT and Industry & Commerce. Our expert knowledge of the market and strong working relationships with our clients has enabled us to become the preferred supplier to over 150 global corporations. "	"London, UK"	"IT"	"ASAP"	"£650 - £800 per Day"	"Empiric Solutions"	"Empiric "	"JS-01375"	"29/11/2018 13:59:33"	"http://www.jobserve.com/GkjC4"	NA	"6 months"	"Executive"
"Data Scientist"	""	"Gloucestershire"	"Permanent"	"Data Scientist"	"Gloucestershire"	"Permanent"	"Posted: Thursday, 29 November 2018"	""	"Job Role: Data ScientistLocation: GloucestershireDuration: PermanentSalary/Rate: Excellent SalaryStart Date: ASAPClearance: SC or Willing to UndergoData Scientist - Permanent - Gloucestershire - Excellent Salary - SC or Willing to Undergo The candidate will work within the company's rapidly-growing analytics development team to apply expertise in processes and technology to a wide variety of platform data. The role entails deriving meaningful insights from data and interprets and communicates findings and recommendations. The individual selected will develop data analytics, machine learning and artificial intelligence based capabilities and apply these to a wide variety of system and platform data to enable high level decision-making across different application domains. Data flows may be from a wide variety of sources, such as radio frequency data from systems of interest and social media data analysis. Skills/Experience:At least a bachelor's degree in a numerical, science or similar subjectEffective collaboration with other data scientists, engineers, software teams, management, other stakeholders and customersAbility to perform exploratory analysis, use machine learning to build models, generate visualizations and create & present reportsExperience of designing efficient algorithms for data analysis, data mining, text mining, data manipulation and statistical analysisApply knowledge of tools for software development and engineering research to create models of relevancyKnowledge of related technical domains including systems coding, programming languages, deep mathematical calculation and emerging analytics and big-data technologiesDesired skills, qualifications and experience [JP]One or more of the following skills is desirableDevelop information tools, algorithms, dashboards, and queries to monitor and improve business performanceExperience with statistics (descriptive and inferential)Experience with data manipulation, fusion and visualisation tools and techniquesExperienced in data structures and hierarchiesStrong analytical skills and understanding of system databases, data elements and application software solutions to optimise data gathering and analysisExperience in web application developmentFamiliarity with Hadoop/MapReduce, Pig, Hive, and SparkFamiliarity with Cloud TechnologiesExperience with complex computer networksWeb application development and database modellingRECOMMEND A FRIEND: If you have professional friends/colleagues who would be interested in one of our roles and our excellent levels of service too, we'd like to recognise your recommendations with a 'thank you' of our own. For every colleague you refer who then starts a role through Datasource either Contract or Permanent, we will send you £300!You will be required to hold a minimum of SC or Willing to Undergo. If you do not hold an active SC or Willing to Undergo please familiarise yourself with the vetting process before applying.(c) Copyright Datasource Computer Employment Limited 2018."	"Gloucestershire, UK"	"IT"	NA	NA	"Datasource Computer Employment"	"Fraser Richings "	"JS-J7074"	"29/11/2018 10:01:47"	"http://www.jobserve.com/Gkgh4"	"About Datasource Computer EmploymentDV & SC Security Cleared IT & Engineering specialists supplying HMG, Defence & MoD customers along with IT Consultancies, Banks, Automotive, Aerospace & Naval Engineering companies throughout the UK."	NA	NA
"Data Scientist"	"£60k - £65k per annum"	"London"	"Contract/Permanent"	"Data Scientist"	"London - £60k - £65k per annum"	"Contract/Permanent"	"Posted: Wednesday, 28 November 2018"	""	"Job Title: Data ScientistLocation: Central LondonSalary: £60,000 - 65,000Employment Type: FTCAbout The Data Science CompanyThe organisation is an established financial brand who operate deep within the investment markets and who are now on a journey to build out their Data Science team. This new Data Scientist hire will not only add commercial value to this market leader, but they will also help steer private equity clients investment decisions through the information they generate for the investment team. They are conveniently located in the heart of London and well placed for an all zone travel commute. Offering a modern business culture, they offer spacious open plan designed offices with a collaborative working approach with their 35 strong investment team. This company is investing Data Science staff and whilst a new team, the Data Scientists at this company will be well supported with additional resources, as they build the next generation of Machine Learning and Data Science models.About The Data Scientist RoleImmersing yourself in Data Science, you will be tasked with assisting this financial Powerhouse to build new quantitative models that determine important perceptions collected from both structured and unstructured data, mixed in with your own important research. At the heart of this Data Science role will be the building of strong analytical predictive programmes, capturing new analytics to develop new investment decisions and direction in addition to:Working collaboratively with relevant teams (including your colleague in the new Data Science team) to achieve the highest resultsUtilise your statistical techniques to their full potential.Be happy immersing yourself in big data where you will need to look for automation to speed up your processing of large data sets that have primary factors that you must unlock to build forecasting modelsUtilise and create Python tools whilst creating documents in LaTeX.Key Responsibilities for the Data Scientist:Collect a wide breath of big data, undertaking market based analysisUse your statistical knowledge to explore this data, clean it and transform it into structured usable dataBuild a model based on previous team examples interfaced with your own toolbox of skillsWork with other team members to test the data demonstrating a clear focus to improve the quality of the findingsCommunicate the findings that will dictate future company productAbout The Successful Data ScientistThe ideal candidate should have:Practical work experience or actual employment in an office setup, however this only needs to be a minimum of three monthsStatistical experience or be a competent general statisticianPost Doc experience or perhaps mentored experience in statistics or any mentored research in the Financial SectorExperience or exposure to the financial sector or investment sector in particular Bank or Clearing house general industry experience would be looked on favourablyShould be PhD qualified and have had their relevant research publishedGeneral strong Computer Science experience is neededA mindset where they can work to deadlines and be able to apply their learnt experience quickly and effectively in a work environmentThe ability and drive to work from a blank canvas, where you will be dealing in very large Big Data, and creating models to deal with itStrong Python programming skills are a must as you will be building models to support the investment team in their key future financial decisionsGood communication and presentation skills as you will form part of the investment team, engaging with them regularlyThe passion to learn from an accomplished Data Scientist in a team of two.The tenacity to hit the ground running picking up all hands-on and ad-hoc work tasks, applying and focusing on the application of mathematical and statistical methods to financial investment problemsEssential Skills and Competencies of the Data Scientist:Strong experience of using the Python programming languageA well rounded knowledge of SQLMSc or PhD Mathematics, Physics, Economics, Computer Science, Statistics or similar quantitative based degreeMinimum of 3 months practical work experience or proven interim experience.Strong and confident communication/presentation skillsThis role would ideally suit a recent PhD graduate looking for their first stepping stone into the Data Science industry.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"London, UK"	"IT, Finance"	"ASAP"	"£60k - £65k per annum"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1205"	"28/11/2018 17:28:46"	"http://www.jobserve.com/Gka2i"	NA	"FTC"	NA
"Data Scientist"	"£230 - £280 per Day"	"Central London"	"Contract"	"Data Scientist"	"Central London - £230 - £280 per Day"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"Job Title: Data ScientistLocation: Central LondonSalary: £230 - £280Employment: Day rateAbout The Data Science Company:The organisation is an established financial brand who operate deep within the investment markets and who are now on a journey to build out their Data Science team. This new Data Scientist hire will not only add commercial value to this market leader, but they will also help steer private equity clients investment decisions through the information they generate for the investment team. They are conveniently located in the heart of London and well placed for an all zone travel commute. Offering a modern business culture, they offer spacious open plan designed offices with a collaborative working approach with their 35 strong investment team. This company is investing Data Science staff and whilst a new team, the Data Scientists at this company will be well supported with additional resources, as they build the next generation of Machine Learning and Data Science models.About The Data Scientist Role:Immersing yourself in Data Science, you will be tasked with assisting this financial Powerhouse to build new quantitative models that determine important perceptions collected from both structured and unstructured data, mixed in with your own important research. At the heart of this Data Science role will be the building of strong analytical predictive programmes, capturing new analytics to develop new investment decisions and direction in addition to:Working collaboratively with relevant teams (including your colleague in the new Data Science team) to achieve the highest resultsUtilise your statistical techniques to their full potentialBe happy immersing yourself in big data where you will need to look for automation to speed up your processing of large data sets that have primary factors that you must unlock to build forecasting modelsUtilise and create Python tools whilst creating documents in LaTeX.Key Responsibilities for the Data Scientist:Collect a wide breath of big data, undertaking market based analysisUse your statistical knowledge to explore this data, clean it and transform it into structured usable dataBuild a model based on previous team examples interfaced with your own toolbox of skillsWork with other team members to test the data demonstrating a clear focus to improve the quality of the findingsCommunicate the findings that will dictate future company productAbout The Successful Data Scientist:The ideal candidate should have:Practical work experience or actual employment in an office setup, however this only needs to be a minimum of three monthsStatistical experience or be a competent general statisticianPost Doc experience or perhaps mentored experience in statistics or any mentored research in the Financial SectorExperience or exposure to the financial sector or investment sector in particular Bank or Clearing house general industry experience would be looked on favourablyShould be PhD qualified and have had their relevant research publishedGeneral strong Computer Science experience is neededA mindset where they can work to deadlines and be able to apply their learnt experience quickly and effectively in a work environmentThe ability and drive to work from a blank canvas, where you will be dealing in very large Big Data, and creating models to deal with itStrong Python programming skills are a must as you will be building models to support the investment team in their key future financial decisionsGood communication and presentation skills as you will form part of the investment team, engaging with them regularlyThe passion to learn from an accomplished Data Scientist in a team of two.The tenacity to hit the ground running picking up all hands-on and ad-hoc work tasks, applying and focusing on the application of mathematical and statistical methods to financial investment problemsEssential Skills and Competencies of the Data Scientist:Strong experience of using the Python programming languageA well rounded knowledge of SQLMSc or PhD Mathematics, Physics, Economics, Computer Science, Statistics or similar quantitative based degreeMinimum of 3 months practical work experience or proven interim experience.Strong and confident communication/presentation skillsThis role would ideally suit a recent PhD graduate looking for their first stepping stone into the Data Science industry.For more information about this Data Scientist role or to apply send your CV now to Steve. Please email (see below) Reuben Sinclair are a multi award winning recruitment company including: UK's Best Recruitment Consultant, UK's Best Specialist Recruitment Agency, UK's Best Agency Side Recruiter, One of only 30 UK Hyper Growth companies, UK's Most Innovative Recruitment Company, UK's Most Innovative Recruiter, UK's Best Agency Side Recruiter, UK's Best Agency Side RecruiterWe specialise in delivering recruitment solutions for complete brand engagement: Data, Digital, Sales, Marketing and PR working with some of the most innovative, entrepreneurial and award winning companies across industry.Keywords: Data Scientist, Senior Data Scientist, Lead Data Scientist, Head of Data Science, Data Analyst, Statistics, Programming, Machine Learning, Text Mining, Data Visualization, Big Data, Data Ingestion, Data Munging, Toolbox, Natural Language, Processing "	"Central London, UK"	"IT"	"ASAP"	"£230 - £280 per Day"	"Reuben Sinclair"	"Steve Woodward "	"JS-SW - 007 - 1204"	"28/11/2018 17:22:57"	"http://www.jobserve.com/Gkawr"	NA	"Temp-to-perm"	NA
"Lead Data Scientist - Senior Data Engineer"	"£550 - £600 per day"	"London"	"Contract"	"Lead Data Scientist - Senior Data Engineer"	"London - £550 - £600 per day"	"Contract"	"Posted: Monday, 3 December 2018"	"Viewed: 37 minutes ago"	"Data ScientistLondon based wUp to £70k + benefitsKey Skills: Data Expert, Data Science, Data Mining (classical regression, logistic regression, CHAID, CART, neural nets, association rules, sequence analysis, cluster analysis, and text mining), Big Data, Consultancy, SQL, Rational Database, Hadoop, Hive, Advanced Analytics.We are working with a Gambling Client who are resourcing for a number of experienced Data consultants with a passion for Data Science and everything Big Data.Your role will be to help the client design a data engine to be built using Machine learning technology and algorithyms you will architect/design and build an ML bot for 10 plus significant use cases for this company. In addition you will develop enterprise analytic solutions which are focused on specific industry solutions and continue to explore emerging technologies to evaluate new analytic possibilities.Your responsibilities will include the following:Defining the technical requirements of analytic solutions.Defining the data requirements of analytic solutionsConduct sophisticated data mining analyses and build data mining models, as required, as part of the initial solution development.Translating data mining results into clear business focused deliverables for decision makers.Technical consulting on Data MiningProduce internally published material such as knowledge briefs, service delivery kit components and modules, etc.This role will suit someone who considers themselves an expert in all things Data and has the desire to be at the forefront of new technology and new innovation in Data Analytics.In Return the client will pay you a starting day rate of £600 for 6 months. This role is being handled by Mark Chappell CertRP AIRP"	"London, UK"	"IT"	"asap"	"£550 - £600 per day"	"Careerwise"	"Mark Chappell "	"JS-0000004241"	"03/12/2018 21:59:24"	"http://www.jobserve.com/GlTtE"	NA	NA	NA
"Data Scientist"	"£650 - £800 per Day"	"London"	"Contract"	"Data Scientist"	"London - £650 - £800 per Day"	"Contract"	"Posted: Friday, 30 November 2018"	""	"Contract Requirement - Banking - Spark -AI - ML- R Data Scientist You'll be supporting the bank's evolution of its Data Science capability, selecting and developing new techniques for solving complex data related problemsThe team's remit is to explore new ways to use the banks data, and you'll have the opportunity to work through proofs of concept in an agile environmentDeliverablesDriving, educating and selling the developments in data science, across the data analyst and data science communityBeing a key member of the team of data scientists exploring and demonstrating how new techniques can be applied to data to drive value across our businessFormulating the data science business strategy in conjunction with the broader data science communitySupporting the broader data scientist and data analyst community to identify and deliver opportunities to support the bank's strategic direction through better use of our dataWorking within multiple concurrent virtual teams of data science specialists to implement the strategyEmbedding new data techniques in to the business through role modelling, training and design oversightSupporting the processes of pilots and proof of concept delivery to provide opportunities and develop business cases to drive those opportunitiesExperience RequiredDeep experience of data science techniques, including the pragmatic implementation of Machine Learning, Artificial Intelligence and multi-variant analysis techniquesExperience of the tools used to deploy advanced techniques, including some of R, Impala, SAS, Python, Spark in a structured and unstructured data environmentAn ability to work with and influence a range of stakeholdersAn ability to support a portfolio of technically complex opportunities simultaneouslyLocation: LondonDuration: 6 monthsRate: £650 - £800 per DayHow to Apply: If you want to work with passionate individuals and be part of a business critical team then this is the opportunity for you. Alternatively if you have a friend or colleague that may be suitable please pass on my details. Successful referrals will be rewarded.  To discuss this in more detail please send your CV:Ryan Baker | (see below)Empiric is a global provider of niche and specialist recruitment services operating across Investment Banking, Oil & Gas, Engineering, IT and Industry & Commerce. Our expert knowledge of the market and strong working relationships with our clients has enabled us to become the preferred supplier to over 150 global corporations. "	"London, UK"	"IT"	"ASAP"	"£650 - £800 per Day"	"Empiric Solutions"	"Empiric "	"JS-013756"	"30/11/2018 17:34:31"	"http://www.jobserve.com/Gkqvo"	NA	"6 months"	"Executive"
"Data Scientist"	"Market Rate"	"South West London"	"Contract"	"Data Scientist"	"South West London - Market Rate"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"One of my leading clients is looking for a Data Scientist to work onsite for 6 months paying market rate. Please note you must have experience with Management of Projects, Advanced Analytics, Supply Chain and Cloud Architecture. This role will focus on advanced demand forecasting, building models that enable markets to make better planning decisions. It will deliver the priority projects agreed between I&A Supply Chain lead and the markets.Key Skills and Responsibilities:Machine learning forecasting techniques Fully Operational * Statistical modelling Fully Operational * Operational research and supply chain Detailed Domain Knowledge * Optimisation techniques and tools Fully Operational * Manipulating multi-source data Fully Operational * Python coding and R Fully Operational * Cloud architecture (preferably MS Azure) Working Knowledge * Simulation packages eg Anylogic Working Knowledge * Distributed computing (Hadoop, Spark) Working Knowledge * Work with the I&A Supply Chain lead and market teams to fully understand the business problems and how to deliver relevant insights that lead to actions. *Gather data and build machine learning models to solve advanced forecasting problems requiring predictive and/or prescriptive analytics * Guide the work of 3rd party vendors, ensuring optimal delivery while creating IP and capability * Support product teams scaling models into low-touch solutions to provide optimal ROI from data science. *This is an exciting new role in the Data Science Centre of Excellence team in, which is tasked to deliver maximum value from data to drive business and organization performance. To apply please send your CV to (see below) "	"South West London, UK"	"IT"	"ASAP"	"Market Rate"	"Gibbs Hybrid"	"Nicole Witney "	"JS-NWLRDATA"	"28/11/2018 21:25:24"	"http://www.jobserve.com/Gkcln"	"About Gibbs Hybridwww.gibbshybrid.comGibbs Hybrid Gibbs Hybrid is an International people-powered business, providing Programme Technology Solutions, Total Talent Management Services and Outsourcing as a Service. We offer our innovative blended models to help improve our clients’ People, Technology, Process and Delivery Challenges.Headquartered in the UK, Gibbs Hybrid has offices across Ireland, Poland, Luxembourg, US and Canada.  We are a tier one partner, privately held and a globally certified Woman-owned Business Enterprise (WBE) & Ethnic Minority Owned Business (EMB). Our passion is to be the most respected and trusted partner and our philosophy is centred round Innovation, Customer Centricity, Expert Execution.Passionate about people and passionate about making a difference. "	"6 months"	NA
"Data Scientist, 12 month contract, up to £600 PD, London"	"£450 - £600 per day"	"London"	"Contract"	"Data Scientist, 12 month contract, up to £600 PD, London"	"London - £450 - £600 per day"	"Contract"	"Posted: Wednesday, 28 November 2018"	""	"My client in London is looking for a Data Scientist. This is a 12 month contract paying up to £600 per day working for a Media company.Concrete tasks will include:Design and develop analytical approaches based on product concepts, going all the way from feasibility checks to proof-of-concepts to prototypes to implementation in end-to-end solutionsClosely collaborate with machine learning engineers/software engineers on creating data-driven end-to-end solutions for marketersActively share Data Science knowledge within the companies Technology and Data networkWe look for a profile with complementary skills, such as:MUST HAVEExpert knowledge of Python programming, including pySparkStrong statistical modelling skills/knowledge on predictive analytics would be a plusSolid skills with regard to working in Big Data environments (eg, Cloudera Hadoop, Hortonworks Data Platform, AWS EMR, Map/Reduce, Hive) NICE TO HAVEAdvanced knowledge of the constantly evolving Data Science ecosystem and its frameworks (eg, Hadoop, Spark MLlib, H2O, Tensorflow, Torch, Theano)Basic skills with regard to performance optimisation and scalability (eg, pluralisation, code optimisation, containerisation, function as a service)Experience in working with relational and non-relational databases, including SQLJob reference: SC3127- 281118"	"London, UK"	"IT"	NA	"£450 - £600 per day"	"Alexander Ash Consulting Ltd"	"Samuel Coker "	"JS-SC3127- 281118"	"28/11/2018 08:32:56"	"http://www.jobserve.com/GkVvM"	NA	"12 months"	NA
"Data Scientist"	"42k"	"Wakefield, West Yorkshire"	"Permanent"	"Data Scientist"	"Wakefield, West Yorkshire - 42k"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"Your role will be to do development of new solutions and maintain existing solution in and around our Data Warehouse.The Data Scientist would need to have at least 8+ years of experience. This Candidate will help work on a wide range of analytics, business intelligence, data warehouse initiatives designed to support Risk & Finance data-driven business strategies. They will be primarily responsible for implementing ETL processes. The Data Scientist should be well-versed in the design and development of ETL and database developments for a large data warehouse, as well as maintaining and supporting the production jobs. This Candidate should be able to work collaboratively with other team members, as well as users for operational support. Main Responsibilities:Working closely with business users and architects to ensure solutions meet business priorities and requirements Contributing to best practice when it comes to quality, development and methodologies Supporting the business in the requirements process, and ensure that the requirements are complete, consistent, concise, and achievable. Formulates and defines system scope and objectives through research and fact-finding to develop or modify moderately complex information systems:Prepares detailed design specifications from which programs will be written. Designs, codes, tests, debugs, documents and maintains application programs. Consults with users or other IT professionals to resolve issues with programs. Contributes to the development of project plans and timelines, provide estimates for planned work. Exhibits expert business knowledge and leverages strong customer relationships. Leads the work of others (mentors, prioritizes, delegates and reviews assignments). Translating business requirements into a technical solution that can be implemented.  Lead Business Development (BD) Operations team member for all IT projects working closely with local & Global IT to deliver projects and initiatives for the BD community Collaborate with leadership to implement and/or optimize tools, processes and procedures for effective system support (CRM, Basel Data reporting, Risk Data Aggregation and IFRS9) Assist in identifying & defining new systems function within the Business Development (BD) applications (SAP BO, SSRS, PowerBI) User support - troubleshooting, identifying problems and working with Local & Global IT to resolve technical issues and work with Users to provide proper training Managing initiatives from the Business perspective for implementation into the DWH systems This role will be in direct first line contact with IT to support specific business functional needs Identify alternatives, assesses feasibility, and recommends new approaches where appropriate. Assist the user community in the provision of system transition support and liaise with the IT project team to ensure it is smooth and seamless. Lead the Data validation process between any and all migrated systems Assist in the analysis of underlying system issues arising from investigations into requirements and problems, and identify available solutions for consideration. Work with the Headquarter & field teams on a day to day basis helping to resolve any issues they have regarding data, systems or processing Designing and developing end-to-end data integration and reporting solutions.  Extraction, transformation and loading of data (ETL) like SAP BODS, SSIS, and SSAS.  Creation of reports and dashboards using SAP BO, SAS and Power BI.  Ensuring the high quality of the code.  Unit and integration testing of developed code  Supporting the business in user acceptance testing.  Peer-reviews of other developers.  Creating and maintaining required documentation in all steps of Information Management life cycle.  Supporting the Operations team in analysing and fixing errors.  Managing our development activities  Continuous learning of new technologies to improve the Information Management process.  End-to-end data integration and reporting solutions.  Documentation to support the Information Management process.  Manage our development activities in offshore teams Main Qualifications: University degree in a quantitative or equivalent with strong academic records 8+ years' relevant experience from Data Warehouse concepts, architecture, best practices and development methodologies Experience with MS SQL Server, MS BI platform, Python and ETL tools like SAP BODS Knowledge of agile software development methodologies  Solid Technical Foundation Structured and result oriented in working with multiple initiatives in progress balancing the project and organizational objectives  Very strong communication skills when working with different resources involving project teams, business units.  Very strong problem-solving and analytical skills  Motivated, Flexible, Proactive, and Service Oriented"	"Wakefield, West Yorkshire, UK"	"IT"	NA	"42k"	"Pinion Services Limited"	"Pinion Services "	"JS"	"30/11/2018 07:03:12"	"http://www.jobserve.com/Gjg9f"	NA	NA	NA
"Data Scientist"	"£50k - £60k per annum + Bens"	"Cheltenham, Gloucestershire"	"Permanent"	"Data Scientist"	"Cheltenham, Gloucestershire - £50k - £60k per annum + Bens"	"Permanent"	"Posted: Friday, 30 November 2018"	""	"PYTHON/PANDAS/SCIPY/SK-LEARN/SK IMAGE/MERCURIAL/GIT/XUNIT/NLP/JAVA/SCALA/SPARK/PYTHON/SHELLSCRIPTING/UNIX/NEO4J/CYPHER/SQL/JSON/DATAPELINES/DATA SCHEMA/JAVA/SCALA/SPARK/PYTHON/MACHINE LEARNING/DEVOPS/Shell ScriptingAre you looking for your next exciting permanent role as Data Scientist in a market leading technology company in Cheltenham?Latest technologies and evolution/learning sound like key words for you?Are you looking for a flat structure kind of environment? If so, read on!My client has received significant investment and their growth plans are exciting for anyone interested in the meeting points of cutting edge technology and retail.We are seeking a skilled Data Scientist who has a proven track record in data analysis to help build the Intelligence Platform (including data analytics and autonomous capabilities) and grow this practice through the delivery of recommendation and insights. You will have a strong interest (and proven track record, academic or commercial) in technical problem-solving, and delivering real solutions to real problems.If you are looking for a collaborative environment where your saying counts, then this is the Team for you. You will be part of their Research and Development Team and will play a crucial role in designing systems and processes to help the company's future strategy and direction. You will get involved in data collection and analysis, algorithm development, machine learning and modelling.You must have the current right to work in the UK to be considered.You will have exposure to algorithm design and machine learning techniques and a background as a research engineer/scientist/developer (academic or commercial), data analysis, visualization and modelling.You will have experience of relevant software environments/tools and libraries for data research (eg Python with pandas, scipy, sk-learn, sk-image or equivalent) with config control (eg Mercurial, Git) and test frameworks (eg xUnit). You will have experience of algorithm tuning, configuration, evaluation and MIS-classification analysis.On a daily basis you will get involved in:Creation of modules to support the production of information and insights from data for use by other teams (including software teams)Develop manual, semi-automated and automated methods to extract information from dataDelivery of solutions;Participate in the software development life cycleDiscerning patterns in data and assist in root cause analysis and troubleshooting of Data Quality Issues;Desirable skills:Shell Scripting;Experience working in a Unix environment;DevOps.Java, Scala and/or SparkPython (and relevant data science packages)If you fit the description above and are interested please send an up to date CV ASAP as they are looking to move quite quickly with this role.Talent International are acting as an employment agency in regards the role of Data Scientist.PYTHON/PANDAS/SCIPY/SK-LEARN/SK IMAGE/MERCURIAL/GIT/XUNIT/NLP/JAVA/SCALA/SPARK/PYTHON/SHELLSCRIPTING/UNIX/NEO4J/CYPHER/SQL/JSON/DATAPELINES/DATA SCHEMA/JAVA/SCALA/SPARK/PYTHON/MACHINE LEARNING/DEVOPS/Shell Scripting"	"Cheltenham, Gloucestershire, UK"	"IT"	NA	"£50k - £60k per annum + Bens"	"Talent International"	"Susanna Firmo "	"JS-DATA SCIENTIST"	"30/11/2018 14:01:18"	"http://www.jobserve.com/GkqF9"	NA	NA	NA
